coddpto,codmun,dpto,mun
52,381,Nariño,LA FLORIDA 
52,385,Nariño,LA LLANADA 
52,390,Nariño,LA TOLA 
52,399,Nariño,LA UNIÓN 
52,405,Nariño,LEIVA
52,411,Nariño,LINARES
52,418,Nariño,LOS ANDES 
52,427,Nariño,MAGÜI
52,435,Nariño,MALLAMA
52,473,Nariño,MOSQUERA
52,480,Nariño,NARIÑO
52,490,Nariño,OLAYA HERRERA 
52,506,Nariño,OSPINA
52,520,Nariño,FRANCISCO PIZARRO 
52,540,Nariño,POLICARPA
52,560,Nariño,POTOSÍ
52,565,Nariño,PROVIDENCIA
52,573,Nariño,PUERRES
52,585,Nariño,PUPIALES
52,612,Nariño,RICAURTE
52,621,Nariño,ROBERTO PAYÁN 
52,678,Nariño,SAMANIEGO
52,683,Nariño,SANDONÁ
52,685,Nariño,SAN BERNARDO 
52,687,Nariño,SAN LORENZO 
52,693,Nariño,SAN PABLO 
52,694,Nariño,SAN PEDRO DE CARTAGO 
52,696,Nariño,SANTA BÁRBARA 
52,699,Nariño,SANTACRUZ
52,720,Nariño,SAPUYES
52,786,Nariño,TAMINANGO
52,788,Nariño,TANGUA
52,835,Nariño,TUMACO
52,838,Nariño,TÚQUERRES
52,885,Nariño,YACUANQUER
54,1,Norte de Santander,CÚCUTA
54,3,Norte de Santander,ABREGO
54,51,Norte de Santander,ARBOLEDAS
54,99,Norte de Santander,BOCHALEMA
54,109,Norte de Santander,BUCARASICA
54,125,Norte de Santander,CÁCOTA
54,128,Norte de Santander,CACHIRÁ
54,172,Norte de Santander,CHINÁCOTA
54,174,Norte de Santander,CHITAGÁ
54,206,Norte de Santander,CONVENCIÓN
54,223,Norte de Santander,CUCUTILLA
54,239,Norte de Santander,DURANIA
54,245,Norte de Santander,EL CARMEN 
54,250,Norte de Santander,EL TARRA 
54,261,Norte de Santander,EL ZULIA 
54,313,Norte de Santander,GRAMALOTE
54,344,Norte de Santander,HACARÍ
54,347,Norte de Santander,HERRÁN
54,377,Norte de Santander,LABATECA
54,385,Norte de Santander,LA ESPERANZA 
54,398,Norte de Santander,LA PLAYA 
54,405,Norte de Santander,LOS PATIOS 
54,418,Norte de Santander,LOURDES
54,480,Norte de Santander,MUTISCUA
54,498,Norte de Santander,OCAÑA
54,518,Norte de Santander,PAMPLONA
54,520,Norte de Santander,PAMPLONITA
54,553,Norte de Santander,PUERTO SANTANDER 
54,599,Norte de Santander,RAGONVALIA
54,660,Norte de Santander,SALAZAR
54,670,Norte de Santander,SAN CALIXTO 
54,673,Norte de Santander,SAN CAYETANO 
54,680,Norte de Santander,SANTIAGO
54,720,Norte de Santander,SARDINATA
54,743,Norte de Santander,SILOS
54,800,Norte de Santander,TEORAMA
54,810,Norte de Santander,TIBÚ
54,820,Norte de Santander,TOLEDO
54,871,Norte de Santander,VILLA CARO 
54,874,Norte de Santander,VILLA DEL ROSARIO
63,1,Quindio,ARMENIA
63,111,Quindio,BUENAVISTA
63,130,Quindio,CALARCA
63,190,Quindio,CIRCASIA
63,212,Quindio,CÓRDOBA
63,272,Quindio,FILANDIA
63,302,Quindio,GÉNOVA
63,401,Quindio,LA TEBAIDA 
63,470,Quindio,MONTENEGRO
63,548,Quindio,PIJAO
63,594,Quindio,QUIMBAYA
63,690,Quindio,SALENTO
66,1,Risaralda,PEREIRA
66,45,Risaralda,APÍA
66,75,Risaralda,BALBOA
66,88,Risaralda,BELÉN DE UMBRÍA
66,170,Risaralda,DOSQUEBRADAS
66,318,Risaralda,GUÁTICA
66,383,Risaralda,LA CELIA 
66,400,Risaralda,LA VIRGINIA 
66,440,Risaralda,MARSELLA
66,456,Risaralda,MISTRATÓ
66,572,Risaralda,PUEBLO RICO 
66,594,Risaralda,QUINCHÍA
66,682,Risaralda,SANTA ROSA DE CABAL 
66,687,Risaralda,SANTUARIO
68,1,Santander,BUCARAMANGA
68,13,Santander,AGUADA
68,20,Santander,ALBANIA
68,51,Santander,ARATOCA
68,77,Santander,BARBOSA
68,79,Santander,BARICHARA
68,81,Santander,BARRANCABERMEJA
68,92,Santander,BETULIA
68,101,Santander,BOLÍVAR
68,121,Santander,CABRERA
68,132,Santander,CALIFORNIA
68,147,Santander,CAPITANEJO
68,152,Santander,CARCASÍ
68,160,Santander,CEPITÁ
68,162,Santander,CERRITO
68,167,Santander,CHARALÁ
68,169,Santander,CHARTA
68,176,Santander,CHIMA
68,179,Santander,CHIPATÁ
68,190,Santander,CIMITARRA
68,207,Santander,CONCEPCIÓN
68,209,Santander,CONFINES
68,211,Santander,CONTRATACIÓN
68,217,Santander,COROMORO
68,229,Santander,CURITÍ
68,235,Santander,EL CARMEN DE CHUCURÍ 
68,245,Santander,EL GUACAMAYO 
68,250,Santander,EL PEÑÓN 
68,255,Santander,EL PLAYÓN 
68,264,Santander,ENCINO
68,266,Santander,ENCISO
68,271,Santander,FLORIÁN
68,276,Santander,FLORIDABLANCA
68,296,Santander,GALÁN
68,298,Santander,GAMBITA
68,307,Santander,GIRÓN
68,318,Santander,GUACA
68,320,Santander,GUADALUPE
68,322,Santander,GUAPOTÁ
68,324,Santander,GUAVATÁ
68,327,Santander,GÜEPSA
68,344,Santander,HATO
68,368,Santander,JESÚS MARÍA 
68,370,Santander,JORDÁN
68,377,Santander,LA BELLEZA 
68,385,Santander,LANDÁZURI
68,397,Santander,LA PAZ 
68,406,Santander,LEBRÍJA
68,418,Santander,LOS SANTOS 
68,425,Santander,MACARAVITA
68,432,Santander,MÁLAGA
68,444,Santander,MATANZA
68,464,Santander,MOGOTES
68,468,Santander,MOLAGAVITA
68,498,Santander,OCAMONTE
68,500,Santander,OIBA
68,502,Santander,ONZAGA
68,522,Santander,PALMAR
68,524,Santander,PALMAS DEL SOCORRO
68,533,Santander,PÁRAMO
68,547,Santander,PIEDECUESTA
68,549,Santander,PINCHOTE
68,572,Santander,PUENTE NACIONAL 
68,573,Santander,PUERTO PARRA 
68,575,Santander,PUERTO WILCHES 
68,615,Santander,RIONEGRO
68,655,Santander,SABANA DE TORRES
68,669,Santander,SAN ANDRÉS 
68,673,Santander,SAN BENITO 
68,679,Santander,SAN GIL 
68,682,Santander,SAN JOAQUÍN 
68,684,Santander,SAN JOSÉ DE MIRANDA 
68,686,Santander,SAN MIGUEL 
68,689,Santander,SAN VICENTE DE CHUCURÍ 
68,705,Santander,SANTA BÁRBARA 
68,720,Santander,SANTA HELENA DEL OPÓN 
68,745,Santander,SIMACOTA
68,755,Santander,SOCORRO
68,770,Santander,SUAITA
68,773,Santander,SUCRE
68,780,Santander,SURATÁ
68,820,Santander,TONA
68,855,Santander,VALLE DE SAN JOSÉ 
68,861,Santander,VÉLEZ
68,867,Santander,VETAS
68,872,Santander,VILLANUEVA
68,895,Santander,ZAPATOCA
70,1,Sucre,SINCELEJO
70,110,Sucre,BUENAVISTA
70,124,Sucre,CAIMITO
70,204,Sucre,COLOSO
70,215,Sucre,COROZAL
70,221,Sucre,COVEÑAS
70,230,Sucre,CHALÁN
70,233,Sucre,EL ROBLE 
70,235,Sucre,GALERAS
70,265,Sucre,GUARANDA
70,400,Sucre,LA UNIÓN 
70,418,Sucre,LOS PALMITOS 
70,429,Sucre,MAJAGUAL
70,473,Sucre,MORROA
70,508,Sucre,OVEJAS
70,523,Sucre,PALMITO
70,670,Sucre,SAMPUÉS
70,678,Sucre,SAN BENITO ABAD
70,702,Sucre,SAN JUAN DE BETULIA 
70,708,Sucre,SAN MARCOS 
70,713,Sucre,SAN ONOFRE 
70,717,Sucre,SAN PEDRO 
70,742,Sucre,SINCÉ
70,771,Sucre,SUCRE
70,820,Sucre,SANTIAGO DE TOLÚ
70,823,Sucre,TOLÚ VIEJO 
73,1,Tolima,IBAGUÉ
73,24,Tolima,ALPUJARRA
73,26,Tolima,ALVARADO
73,30,Tolima,AMBALEMA
73,43,Tolima,ANZOÁTEGUI
73,55,Tolima,ARMERO
73,67,Tolima,ATACO
73,124,Tolima,CAJAMARCA
73,148,Tolima,CARMEN DE APICALÁ
73,152,Tolima,CASABIANCA
73,168,Tolima,CHAPARRAL
73,200,Tolima,COELLO
73,217,Tolima,COYAIMA
73,226,Tolima,CUNDAY
73,236,Tolima,DOLORES
73,268,Tolima,ESPINAL
73,270,Tolima,FALAN
73,275,Tolima,FLANDES
73,283,Tolima,FRESNO
73,319,Tolima,GUAMO
73,347,Tolima,HERVEO
73,349,Tolima,HONDA
73,352,Tolima,ICONONZO
73,408,Tolima,LÉRIDA
73,411,Tolima,LÍBANO
73,443,Tolima,MARIQUITA
73,449,Tolima,MELGAR
73,461,Tolima,MURILLO
73,483,Tolima,NATAGAIMA
73,504,Tolima,ORTEGA
73,520,Tolima,PALOCABILDO
73,547,Tolima,PIEDRAS
73,555,Tolima,PLANADAS
73,563,Tolima,PRADO
73,585,Tolima,PURIFICACIÓN
73,616,Tolima,RIOBLANCO
73,622,Tolima,RONCESVALLES
73,624,Tolima,ROVIRA
73,671,Tolima,SALDAÑA
73,675,Tolima,SAN ANTONIO 
73,678,Tolima,SAN LUIS 
73,686,Tolima,SANTA ISABEL 
73,770,Tolima,SUÁREZ
73,854,Tolima,VALLE DE SAN JUAN 
73,861,Tolima,VENADILLO
73,870,Tolima,VILLAHERMOSA
73,873,Tolima,VILLARRICA
76,1,Valle del Cauca,CALI
76,20,Valle del Cauca,ALCALÁ
76,36,Valle del Cauca,ANDALUCÍA
76,41,Valle del Cauca,ANSERMANUEVO
76,54,Valle del Cauca,ARGELIA
76,100,Valle del Cauca,BOLÍVAR
76,109,Valle del Cauca,BUENAVENTURA
76,111,Valle del Cauca,GUADALAJARA DE BUGA
76,113,Valle del Cauca,BUGALAGRANDE
76,122,Valle del Cauca,CAICEDONIA
76,126,Valle del Cauca,CALIMA
76,130,Valle del Cauca,CANDELARIA
76,147,Valle del Cauca,CARTAGO
76,233,Valle del Cauca,DAGUA
76,243,Valle del Cauca,EL ÁGUILA 
76,246,Valle del Cauca,EL CAIRO 
76,248,Valle del Cauca,EL CERRITO 
76,250,Valle del Cauca,EL DOVIO 
76,275,Valle del Cauca,FLORIDA
76,306,Valle del Cauca,GINEBRA
76,318,Valle del Cauca,GUACARÍ
76,364,Valle del Cauca,JAMUNDÍ
76,377,Valle del Cauca,LA CUMBRE 
76,400,Valle del Cauca,LA UNIÓN 
76,403,Valle del Cauca,LA VICTORIA 
76,497,Valle del Cauca,OBANDO
76,520,Valle del Cauca,PALMIRA
76,563,Valle del Cauca,PRADERA
76,606,Valle del Cauca,RESTREPO
76,616,Valle del Cauca,RIOFRÍO
76,622,Valle del Cauca,ROLDANILLO
76,670,Valle del Cauca,SAN PEDRO 
76,736,Valle del Cauca,SEVILLA
76,823,Valle del Cauca,TORO
76,828,Valle del Cauca,TRUJILLO
76,834,Valle del Cauca,TULUÁ
76,845,Valle del Cauca,ULLOA
76,863,Valle del Cauca,VERSALLES
76,869,Valle del Cauca,VIJES
76,890,Valle del Cauca,YOTOCO
76,892,Valle del Cauca,YUMBO
76,895,Valle del Cauca,ZARZAL
81,1,Arauca,ARAUCA
81,65,Arauca,ARAUQUITA
81,220,Arauca,CRAVO NORTE 
81,300,Arauca,FORTUL
81,591,Arauca,PUERTO RONDÓN 
81,736,Arauca,SARAVENA
81,794,Arauca,TAME
85,1,Casanare,YOPAL
85,10,Casanare,AGUAZUL
85,15,Casanare,CHAMEZA
85,125,Casanare,HATO COROZAL 
85,136,Casanare,LA SALINA 
85,139,Casanare,MANÍ
85,162,Casanare,MONTERREY
85,225,Casanare,NUNCHÍA
85,230,Casanare,OROCUÉ
85,250,Casanare,PAZ DE ARIPORO
85,263,Casanare,PORE
85,279,Casanare,RECETOR
85,300,Casanare,SABANALARGA
85,315,Casanare,SÁCAMA
85,325,Casanare,SAN LUIS DE PALENQUE 
85,400,Casanare,TÁMARA
85,410,Casanare,TAURAMENA
85,430,Casanare,TRINIDAD
85,440,Casanare,VILLANUEVA
86,1,Putumayo,MOCOA
86,219,Putumayo,COLÓN
86,320,Putumayo,ORITO
86,568,Putumayo,PUERTO ASÍS 
86,569,Putumayo,PUERTO CAICEDO 
86,571,Putumayo,PUERTO GUZMÁN 
86,573,Putumayo,LEGUÍZAMO
86,749,Putumayo,SIBUNDOY
86,755,Putumayo,SAN FRANCISCO 
86,757,Putumayo,SAN MIGUEL 
86,760,Putumayo,SANTIAGO
86,865,Putumayo,VALLE DEL GUAMUEZ
86,885,Putumayo,VILLAGARZÓN
88,1,"Archipiélago de San Andrés, Providencia y Santa Catalina",SAN ANDRÉS
88,564,"Archipiélago de San Andrés, Providencia y Santa Catalina",PROVIDENCIA 
91,1,Amazonas,LETICIA
91,263,Amazonas,EL ENCANTO 
91,405,Amazonas,LA CHORRERA 
91,407,Amazonas,LA PEDRERA 
91,430,Amazonas,LA VICTORIA 
91,460,Amazonas,MIRITI - PARANÁ
91,530,Amazonas,PUERTO ALEGRÍA 
91,536,Amazonas,PUERTO ARICA 
91,540,Amazonas,PUERTO NARIÑO 
91,669,Amazonas,PUERTO SANTANDER 
91,798,Amazonas,TARAPACÁ
94,1,Guainía,INÍRIDA
94,343,Guainía,BARRANCO MINAS 
94,663,Guainía,MAPIRIPANA
94,883,Guainía,SAN FELIPE 
94,884,Guainía,PUERTO COLOMBIA 
94,885,Guainía,LA GUADALUPE 
94,886,Guainía,CACAHUAL
94,887,Guainía,PANA PANA 
94,888,Guainía,MORICHAL
95,1,Guaviare,SAN JOSÉ DEL GUAVIARE 
95,15,Guaviare,CALAMAR
95,25,Guaviare,EL RETORNO 
95,200,Guaviare,MIRAFLORES
97,1,Vaupés,MITÚ
97,161,Vaupés,CARURU
97,511,Vaupés,PACOA
97,666,Vaupés,TARAIRA
97,777,Vaupés,PAPUNAUA
97,889,Vaupés,YAVARATÉ
99,1,Vichada,PUERTO CARREÑO 
99,524,Vichada,LA PRIMAVERA 
99,624,Vichada,SANTA ROSALÍA 
99,773,Vichada,CUMARIBO
